COUNTY OF RESIDENCE:,TOTAL,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HYDE,37,4,3,3,4,2,6,1,3,3,2,1,5
IREDELL,"1,933",149,155,128,155,120,184,167,184,195,173,181,142
JACKSON,318,25,26,31,37,25,28,29,19,19,26,22,31
JOHNSTON,"2,770",208,218,216,207,238,217,222,267,259,237,223,258
JONES,79,8,6,2,4,5,3,8,10,7,8,8,10
LEE,769,61,54,61,50,71,62,76,82,61,64,61,66
LENOIR,659,42,39,57,45,58,56,72,49,61,54,61,65
LINCOLN,896,58,78,75,69,76,84,84,71,86,68,69,78
MCDOWELL,406,37,28,31,31,29,35,40,37,43,28,34,33
MACON,311,27,24,24,22,35,19,28,32,29,21,22,28
MADISON,198,14,18,15,10,24,15,16,25,17,20,13,11
MARTIN,219,14,17,13,19,23,20,23,16,22,13,17,22
MECKLENBURG,15061,"1,172","1,049","1,247","1,142","1,187","1,295","1,363","1,383","1,415","1,263","1,241","1,304"
MITCHELL,127,11,8,10,12,12,12,5,10,14,13,7,13
MONTGOMERY,243,13,13,13,25,35,17,19,25,14,26,15,28
MOORE,"1,208",91,77,105,121,106,82,91,97,113,107,103,115
NASH,"1,054",80,98,79,88,51,88,114,91,104,83,95,83
NEW HANOVER,"2,156",169,156,175,169,198,162,187,203,192,156,193,196
NORTHAMPTON,159,18,10,11,16,9,18,12,17,17,9,10,12
ONSLOW,"3,858",309,263,315,298,325,346,363,349,349,337,292,312
ORANGE,"1,193",78,85,98,95,100,101,102,111,118,103,98,104
PAMLICO,86,9,5,7,9,4,11,9,5,9,5,7,6
PASQUOTANK,466,43,30,40,45,51,33,42,33,45,34,34,36
PENDER,666,48,48,41,44,56,82,70,59,59,54,50,55
PERQUIMANS,132,7,11,11,7,11,13,10,16,13,7,14,12
PERSON,456,35,31,46,39,41,43,39,32,37,26,44,43
PITT,"2,093",158,155,146,169,164,184,202,203,175,172,164,201
POLK,158,16,16,17,11,9,9,15,17,14,10,11,13
RANDOLPH,"1,499",117,105,123,117,120,144,109,130,136,133,126,139
RICHMOND,536,46,61,47,32,42,36,51,43,54,47,37,40
ROBESON,"1,847",160,140,143,125,147,154,174,167,161,162,141,173
ROCKINGHAM,861,61,69,70,63,71,74,73,76,77,71,67,89
ROWAN,"1,612",114,114,124,114,140,155,149,163,148,127,152,112
RUTHERFORD,633,60,46,55,58,56,44,56,52,53,54,54,45
SAMPSON,801,72,52,58,64,68,60,63,83,82,67,68,64
SCOTLAND,401,33,33,36,25,32,32,28,39,37,34,30,42
STANLY,701,54,47,47,59,48,59,50,72,76,53,66,70
STOKES,422,32,27,30,41,31,45,42,42,36,30,33,33
SURRY,718,51,65,59,59,56,51,67,70,77,44,58,61
SWAIN,181,15,8,16,16,7,15,17,17,18,17,22,13
TRANSYLVANIA,262,20,16,15,23,21,24,24,25,27,25,17,25
TYRRELL,39,3,6,2,0,5,6,2,2,4,3,3,3
UNION,"2,443",193,193,212,189,194,184,210,233,190,212,210,223
VANCE,547,45,34,42,44,33,49,42,60,48,38,56,56
WAKE,"13,168",969,938,"1,078","1,059","1,148","1,122","1,207","1,173","1,132","1,167","1,052","1,123"
WARREN,162,14,11,11,15,13,11,14,20,12,15,9,17
WASHINGTON,112,7,8,10,5,9,9,10,10,10,7,11,16
WATAUGA,312,27,18,24,25,35,27,25,30,27,28,25,21
WAYNE,"1,601",110,103,137,141,125,128,150,153,138,131,144,141
WILKES,662,54,39,57,53,52,55,46,61,60,60,49,76
WILSON,872,70,72,60,67,78,70,77,74,73,66,88,77
YADKIN,344,35,17,30,26,26,23,35,30,32,36,25,29
YANCEY,173,15,10,12,21,11,14,10,16,18,17,7,22
